Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Retial Profit Margin
Pilgrim's Pride,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.55,$5.09,99.61%
Pilgrim's Pride,Chicken Thighs Boneless/Skinless,Chicken Thighs,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.90,$2.59,36.32%
Pilgrim's Pride,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.87,$1.69,94.25%
Pilgrim's Pride,Chicken Legs Leg Quarters,Chicken Legs,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Legs%20.jpeg,$0.55,$1.09,98.18%
Pilgrim's Pride,Chicken Legs Whole Leg,Chicken Legs,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.89,$1.59,78.65%
Pilgrim's Pride,Whole Chicken No Giblets,Whole Chicken ,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$1.15,$1.49,29.57%
Pilgrim's Pride,Whole Chicken Spatchcook,Whole Chicken ,2024,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.27,$2.39,88.93%
Pilgrim's Pride,Chicken Wings Split,Chicken Wings,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.67,$3.39,102.99%
Pilgrim's Pride,Chicken Wings Drumettes,Chicken Wings,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.75,$3.89,121.84%
Pilgrim's Pride,Chicken Drumsticks Skin-on,Chicken Drumsticks,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$0.52,$1.29,148.08%
Pilgrim's Pride,Chicken Drumsticks Skinless,Chicken Drumsticks,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.79,186.86%
Pilgrim's Pride,Chicken Strips,Chicken Strips,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$2.10,$4.39,109.05%
Pilgrim's Pride,Chicken Breast Bone-in Breast,Chicken Breast ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.69,$1.99,17.75%
Pilgrim's Pride,Chicken Breast Boneless Breast,Chicken Breast ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Bone-in%20Breast%20.jpeg,$1.95,$2.99,53.33%
Pilgrim's Pride,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20boneless%20Breast.jpeg,$2.45,$4.89,99.59%
Pilgrim's Pride,Chicken Thighs Boneless/Skinless,Chicken Thighs ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.85,$2.39,29.19%
Pilgrim's Pride,Chicken Thighs Bone-in Skin-on,Chicken Thighs ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.59,89.29%
Pilgrim's Pride,Chicken Legs Leg Quarters,Chicken Legs,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.53,$0.99,86.79%
Pilgrim's Pride,Chicken Legs Whole Leg,Chicken Legs,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Legs%20.jpeg,$0.87,$1.49,71.26%
Pilgrim's Pride,Whole Chicken No Giblets,Whole Chicken ,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$1.15,$1.49,29.57%
Pilgrim's Pride,Whole Chicken Spatchcook,Whole Chicken ,2023,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.27,$2.39,88.93%
Pilgrim's Pride,Chicken Wings Split,Chicken Wings,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.67,$3.39,102.99%
Pilgrim's Pride,Chicken Wings Drumettes,Chicken Wings,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.75,$3.89,121.84%
Pilgrim's Pride,Chicken Drumsticks Skin-on,Chicken Drumsticks,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$0.52,$1.29,148.08%
Pilgrim's Pride,Chicken Drumsticks Skinless,Chicken Drumsticks,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.79,186.86%
Pilgrim's Pride,Chicken Strips,Chicken Strips,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$2.10,$4.39,109.05%
Pilgrim's Pride,Chicken Breast Bone-in Breast,Chicken Breast ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.69,$1.99,17.75%
Pilgrim's Pride,Chicken Breast Boneless Breast,Chicken Breast ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Bone-in%20Breast%20.jpeg,$1.95,$2.99,53.33%
Pilgrim's Pride,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20boneless%20Breast.jpeg,$2.45,$4.89,99.59%
Pilgrim's Pride,Chicken Thighs Boneless/Skinless,Chicken Thighs ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.85,$2.39,29.19%
Pilgrim's Pride,Chicken Thighs Bone-in Skin-on,Chicken Thighs ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.59,89.29%
Pilgrim's Pride,Chicken Legs Leg Quarters,Chicken Legs,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.53,$0.99,86.79%
Pilgrim's Pride,Chicken Legs Whole Leg,Chicken Legs,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Legs%20.jpeg,$0.87,$1.49,71.26%
Pilgrim's Pride,Whole Chicken No Giblets,Whole Chicken ,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$1.08,$1.39,28.70%
Pilgrim's Pride,Whole Chicken Spatchcook,Whole Chicken ,2022,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.19,$2.29,92.44%
Pilgrim's Pride,Chicken Wings Split,Chicken Wings,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.62,$3.29,103.09%
Pilgrim's Pride,Chicken Wings Drumettes,Chicken Wings,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.70,$3.79,122.94%
Pilgrim's Pride,Chicken Drumsticks Skin-on,Chicken Drumsticks,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$0.49,$1.19,142.86%
Pilgrim's Pride,Chicken Drumsticks Skinless,Chicken Drumsticks,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.59,$1.69,186.44%
Pilgrim's Pride,Chicken Strips,Chicken Strips,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$2.05,$4.29,109.27%
Pilgrim's Pride,Chicken Breast Bone-in Breast,Chicken Breast ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.61,$1.89,17.39%
Pilgrim's Pride,Chicken Breast Boneless Breast,Chicken Breast ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Bone-in%20Breast%20.jpeg,$1.88,$2.89,53.72%
Pilgrim's Pride,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20boneless%20Breast.jpeg,$2.34,$4.69,100.43%
Pilgrim's Pride,Chicken Thighs Boneless/Skinless,Chicken Thighs ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.78,$2.19,23.03%
Pilgrim's Pride,Chicken Thighs Bone-in Skin-on,Chicken Thighs ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.81,$1.49,83.95%
Pilgrim's Pride,Chicken Legs Leg Quarters,Chicken Legs,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.50,$0.99,98.00%
Pilgrim's Pride,Chicken Legs Whole Leg,Chicken Legs,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Legs%20.jpeg,$0.84,$1.39,65.48%
Pilgrim's Pride,Whole Chicken No Giblets,Whole Chicken ,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$1.08,$1.39,28.70%
Pilgrim's Pride,Whole Chicken Spatchcook,Whole Chicken ,2021,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.19,$2.29,92.44%
Pilgrim's Pride,Chicken Wings Split,Chicken Wings,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.62,$3.29,103.09%
Pilgrim's Pride,Chicken Wings Drumettes,Chicken Wings,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.70,$3.79,122.94%
Pilgrim's Pride,Chicken Drumsticks Skin-on,Chicken Drumsticks,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$0.49,$1.19,142.86%
Pilgrim's Pride,Chicken Drumsticks Skinless,Chicken Drumsticks,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.59,$1.69,186.44%
Pilgrim's Pride,Chicken Strips,Chicken Strips,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$2.05,$4.29,109.27%
Pilgrim's Pride,Chicken Breast Bone-in Breast,Chicken Breast ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$1.61,$1.89,17.39%
Pilgrim's Pride,Chicken Breast Boneless Breast,Chicken Breast ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Bone-in%20Breast%20.jpeg,$1.88,$2.89,53.72%
Pilgrim's Pride,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20boneless%20Breast.jpeg,$2.34,$4.69,100.43%
Pilgrim's Pride,Chicken Thighs Boneless/Skinless,Chicken Thighs ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$1.78,$2.19,23.03%
Pilgrim's Pride,Chicken Thighs Bone-in Skin-on,Chicken Thighs ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.81,$1.49,83.95%
Pilgrim's Pride,Chicken Legs Leg Quarters,Chicken Legs,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.50,$0.99,98.00%
Pilgrim's Pride,Chicken Legs Whole Leg,Chicken Legs,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Legs%20.jpeg,$0.84,$1.39,65.48%
Tyson,Whole Chicken No Giblets,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.20,$1.69,40.83%
Tyson,Whole Chicken Spatchcook,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.32,$2.69,103.79%
Tyson,Chicken Wings Split,Chicken Wings,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.75,$3.69,110.86%
Tyson,Chicken Wings Drumettes,Chicken Wings,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.84,$4.19,128.03%
Tyson,Chicken Drumsticks Skin-on,Chicken Drumsticks,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Drumstick.jpeg,$0.56,$1.39,148.21%
Tyson,Chicken Drumsticks Skinless,Chicken Drumsticks,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.67,$1.89,181.25%
Tyson,Chicken Strips,Chicken Strips,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.25,$4.79,112.89%
Tyson,Chicken Breast Bone-in Breast,Chicken Breast ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Breast%20Bone-in%20Breast.jpeg,$1.75,$2.19,25.14%
Tyson,Chicken Breast Boneless Breast,Chicken Breast ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Breast%20Boneless%20Breast.jpeg,$2.05,$3.29,60.49%
Tyson,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$2.60,$5.29,103.46%
Tyson,Chicken Thighs Boneless/Skinless,Chicken Thighs ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Thighs%20%20Boneless%3ASkinless.jpeg,$1.93,$2.69,39.38%
Tyson,Chicken Thighs Bone-in Skin-on,Chicken Thighs ,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.89,$1.69,89.89%
Tyson,Chicken Legs Leg Quarters,Chicken Legs,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.57,$1.09,91.23%
